40242.5, 38990.5, 8957.7, 27029.4, 22325, 4048, 36231, 1950
39889.8, 38575.2,
39891.2, 38337.8,
39884.2, 37955,
39736.8, 37940,
39481.8, 37139,
39224.8, 37094,
38981.2, 36999,
38710.8, 36874.5,
38478.2, 36502.5,
38365, 36494.5,
38239.5, 36396,
38094.8, 36276.2,
38022.8, 36043.2,
38007.2, 35966.8,
37953, 35943.5,
37862.5, 35907,
37769.2, 35791.2,
37782.8, 35724.8,
37651.5, 35666,
37612, 35618.8,
37471.5, 35455,
37585.2, 35425.5,
37561.2, 35387.2,
37492.2, 35364.5,
37365.8, 35227.8,
37381, 35201.2,
37378.8, 35179.8,
37369.8, 35171,
37289.8, 35088.2,
37291.8, 35073.2,
37301, 35068.2,
37266.5, 35066.8,
37123.2, 35030.5,
37176.5, 35025,
37112, 35018,
37129.5, 35015.8,
36992.8, 34989.5,
37088.5, 34986.8,
37093, 34986.8,
37031, 34986,
36960.8, 34965.2,
37053, 34965.2,
37033.5, 34960,
36995.2, 34959.5,
36964, 34948.5,
36998.5, 34945.8,
36973.2, 34945.5,
37033, 34944.2,
36933.2, 34925.5,
36982, 34925.5
